Row,Hypodermis,Gonad,Glia,Pharynx,Body_wall_muscle,Neurons
BIO0001_I,0,0,0,0,0,0
BIO0001_X,0.486287822361927,0.486288412787241,0.486288429543522,0.486288398881335,0.486288412794921,0.486288412787243
BIO0002_I,0,0,0,0,0,0
BIO0002_X,1.69966508926704,1.69966690934578,1.69966714649837,1.6996670236439,1.69966707506825,1.93300345197378
BIO0003_I,0,0,0,0,0,0
BIO0003_X,0.0796623158605375,0.0796622356781514,0.0796624111677153,0.0796624061446592,0.07966241138658,0.0796624084227145
BIO0004_I,0,0,0,0,0,0
BIO0004_X,0.00686974758705354,0.00686974758705339,0,0,0,0
BIO0005_I,0.0127579297467179,-0.00742600589749896,-0.00875406711604433,0.223244314643165,0.342686835996406,0.0313991189753593
BIO0005_X,-0.0289952906639879,-0.0225739940997453,-0.0367220574936179,-0.247613316556361,-0.382199003525309,-0.0586086183559298
BIO0006_I,0.0219593989307434,0.0651437248790656,0.0575861437037591,0.019045715837688,-0.02941787648425,0.0565038520825634
BIO0006_X,0.0945247204506637,0.059388527005311,0.0378059634056266,0.0974384434392884,0.125902041774084,0.0388882517399322
BIO0007_I,0.00999999999993406,0.0100000000011846,0.010000000000332,0.0100000000004547,0.00999999999976606,0.0100000000004547
BIO0007_X,0.00067335330594971,0.0106714993884561,0.01067335844576,0.0206733577742355,0.0206733584481188,0.01067335808037
BIO0008_I,0,0,0,0,0,0
BIO0008_X,0.0547817799300224,0.0547818062961476,0.0547818062962339,0.0547818028420436,0.0547818062961488,0.0547818044085871
BIO0009_I,0,0,0,0,0,0
BIO0009_X,0.0247454342966102,0.0247454643409821,0.0247452673003282,0.0247452657401162,0.0247452634212834,0.0247452664477032
BIO0010_I,0,0,0,0,0,0
BIO0010_X,0.36026194718159,0.360262381907927,0.359127376820349,0.359127376820348,0.358051011000903,0.359127376820349
BIO0011_I,-0.00708479902583732,0.0124348531425159,0.0490732153525619,-0.00645290702114291,-0.0402758751551276,0.0182519260428779
BIO0011_X,0.0568352802677041,0.037315647231633,-0.00932271498169501,0.0562034048876348,0.0800263755266102,0.0214985729582797
BIO0012_I,0.00425264324936071,6.82121026329696e-13,-0.00291802237201478,6.82121026329696e-13,6.82121026329696e-13,6.82121026329696e-13
