Row,Hypodermis,Gonad,Glia,Pharynx,Body_wall_muscle,Neurons
BIO0001_I,0,0,0,0,0,0
BIO0001_X,0.486288413,0.486288413,0.48628843,0.486288413,0.486288427,0.486288413
BIO0002_I,0,0,0,0,0,0
BIO0002_X,1.91405669,1.699667448,1.914056717,1.91405665,1.699667137,1.933003452
BIO0003_I,0,0,0,0,0,0
BIO0003_X,0.079662413,0.079662413,0.079662411,0.079662408,0.079662411,0.079662408
BIO0004_I,0,0,0,0,0,0
BIO0004_X,0.006869748,0.006869748,0,0,0,0
BIO0005_I,6.82E-13,-0.006367326,-0.0023005,0.012115967,0.197376961,0.055109392
BIO0005_X,-0.015319671,-0.022573994,-0.043175624,-0.036203172,-0.227202973,-0.081970671
BIO0006_I,0.065450011,0.065143794,0.05094209,0.079882286,0.019645403,0.052981175
BIO0006_X,0.049942166,0.059388527,0.044450017,0.035509818,0.075746704,0.042410929
BIO0007_I,0.01,0.01,0.01,0.01,0.01,0.01
BIO0007_X,0.000673366,0.000673366,0.010673358,0.019925103,0.020673358,0.010673358
BIO0008_I,0,0,0,0,0,0
BIO0008_X,0.054781846,0.054781846,0.054781806,0.054781804,0.054781806,0.054781804
BIO0009_I,0,0,0,0,0,0
BIO0009_X,0.024745464,0.024745464,0.024745267,0.024745266,0.024745264,0.024745266
BIO0010_I,0,0,0,0,0,0
BIO0010_X,0.360262382,0.360262382,0.359127377,0.359127377,0.359127377,0.359127377
BIO0011_I,0.017158068,0.012434888,0.042429162,0.029511407,-0.012949527,0.016490588
BIO0011_X,0.032592461,0.037315642,-0.002678662,0.020239092,0.052700027,0.023259911
BIO0012_I,6.82E-13,6.82E-13,-0.000766833,6.82E-13,6.82E-13,6.82E-13
BIO0012_X,-0.005106557,-0.009647107,-0.014391875,-0.008029068,-0.009942004,-0.00895376
BIO0013_I,0,-0.003183663,-0.000766833,0.006057984,0.09868848,0.027554696
BIO0013_X,-0.005106557,-0.006463444,-0.014391875,-0.014087052,-0.108630484,-0.036508456
BIO0014_I,-9.09E-13,-9.09E-13,-9.09E-13,-9.09E-13,-9.09E-13,-9.09E-13
BIO0014_X,0.010673366,0.010673366,0.010673358,0.010673358,0.010673358,0.010673358
